"ProteinID","GeneID","Query.Length","Description","SequenceID","Length","GeneSymbol","pident","UniprotID"
"FUN_014907-T1","FUN_014907","Length:336","Sorting nexin-6 [Acropora cervicornis]","KAK2548833.1",283,"SNX6",28.94,"Q9UNH7"
"FUN_014909-T1","FUN_014909","Length:344","PREDICTED: uncharacterized protein LOC107356589 isoform X5 [Acropora digitifera]","XP_015778680.1",341,"ATP6V1A2",23.938,"Q8C522"
"FUN_014910-T1","FUN_014910","Length:981","Tyrosine-protein phosphatase non-receptor type 12 [Acropora cervicornis]","KAK2548840.1",934,"PTPN12",43.289,"Q05209"
"FUN_014913-T1","FUN_014913","Length:336","hypothetical protein P5673_030879 [Acropora cervicornis]","KAK2548836.1",394,NA,20.93,"Q9M0G9"
"FUN_014924-T1","FUN_014924","Length:705","PREDICTED: von Willebrand factor A domain-containing protein 7-like [Acropora digitifera]","XP_015778211.1",749,"SVEP1",25.988,"Q6MG64"
"FUN_014930-T1","FUN_014930","Length:588","Hemicentin-1 [Acropora cervicornis]","KAK2548842.1",720,"HMCN1",27.696,"Q8NDA2"
"FUN_014930-T2","FUN_014930","Length:720","Hemicentin-1 [Acropora cervicornis]","KAK2548842.1",720,"HMCN1",28.429,"Q96RW7"
"FUN_014933-T1","FUN_014933","Length:137","hypothetical protein P5673_030887, partial [Acropora cervicornis]","KAK2548843.1",105,NA,31.169,"Q5FNT7"
"FUN_014935-T1","FUN_014935","Length:333","Twinfilin-1 [Acropora cervicornis]","KAK2550931.1",325,"TWF1P1",48.986,"Q68F50"
"FUN_014936-T1","FUN_014936","Length: 361","mannose-1-phosphate guanyltransferase beta-like [Montipora foliosa]","XP_068714179.1",360,"FNTBL1",71.468,"Q6DBU5"
"FUN_014939-T1","FUN_014939","Length: 331",NA,"",NA,"ATP1A1",26.23,"Q8W034"
"FUN_014943-T1","FUN_014943","Length: 284","hypothetical protein P5673_029747 [Acropora cervicornis]","KAK2549769.1",449,NA,26.087,"Q3SKG8"
"FUN_014944-T1","FUN_014944","Length: 465","hypothetical protein P5673_029747 [Acropora cervicornis]","KAK2549769.1",449,NA,19.885,"Q9NU22"
"FUN_014945-T1","FUN_014945","Length: 331","Aflatoxin B1 aldehyde reductase member 4 [Acropora cervicornis]","KAK2549744.1",286,"AKR1B1P1",45.455,"Q8NHP1"
"FUN_014946-T1","FUN_014946","Length: 328","Aflatoxin B1 aldehyde reductase member 2 [Acropora cervicornis]","KAK2549748.1",326,"AKR1B1P1",47.72,"Q8NHP1"
"FUN_014947-T1","FUN_014947","Length: 364","Aflatoxin B1 aldehyde reductase member 2 [Acropora cervicornis]","KAK2549748.1",326,"AKR1B1P1",49.55,"Q8CG45"
"FUN_014952-T1","FUN_014952","Length: 455","Coronin-6 [Acropora cervicornis]","KAK2549750.1",460,"CORO6",48.291,"Q6QEF8"
"FUN_014953-T1","FUN_014953","Length: 2161","Helicase domino, partial [Acropora cervicornis]","KAK2549716.1",2912,"LGI1",50.502,"Q9NDJ2"
"FUN_014956-T1","FUN_014956","Length: 356","MYG1 exonuclease-like [Acropora muricata]","XP_067033438.1",356,"ISG20L2",62.315,"Q58DG1"
"FUN_014958-T1","FUN_014958","Length: 1284","uncharacterized protein LOC114976291 [Acropora millepora]","XP_029212539.2",1283,"GPRASP1",44.828,"Q9LUI3"
"FUN_014959-T1","FUN_014959","Length: 345","UDP-glucose 4-epimerase [Acropora cervicornis]","KAK2549725.1",336,"GALE",65.396,"Q8R059"
"FUN_014960-T1","FUN_014960","Length: 307","Microtubule-associated protein RP/EB family member 1 [Acropora cervicornis]","KAK2549724.1",281,NA,52.769,"Q5XIT1"
"FUN_014963-T1","FUN_014963","Length: 251","ribosome maturation protein SBDS-like [Acropora muricata]","XP_067033442.1",251,"POMP",72.51,"Q3SWZ6"
"FUN_014966-T1","FUN_014966","Length: 305","eukaryotic translation initiation factor 4H-like isoform X3 [Acropora millepora]","XP_029212565.2",295,"EIF4ENIF1",49.804,"Q15056"
"FUN_014968-T1","FUN_014968","Length: 614","Histone deacetylase 1 [Acropora cervicornis]","KAK2549732.1",911,"HDAC1P1",84.722,"P56517"
"FUN_014969-T1","FUN_014969","Length: 348","Histone deacetylase 1 [Acropora cervicornis]","KAK2549732.1",911,"HDAC1P1",36.882,"J3S9D9"
"FUN_014973-T1","FUN_014973","Length: 84","PREDICTED: 40S ribosomal protein S21-like [Acropora digitifera]","XP_015754943.1",84,"FSAF1",63.855,"P63220"
"FUN_014977-T1","FUN_014977","Length: 299","Regulator of telomere elongation helicase 1 [Acropora cervicornis]","KAK2549772.1",1157,"RTEL1P1",38.525,"A9YWH3"
"FUN_014979-T1","FUN_014979","Length: 3792","Laminin subunit alpha [Acropora cervicornis]","KAK2549770.1",3806,"LAMA1",32.698,"Q00174"
"FUN_014980-T1","FUN_014980","Length: 592","PREDICTED: sphingomyelin phosphodiesterase-like [Acropora digitifera]","XP_015754933.1",592,"SMPDL3A",46.272,"Q0VD19"
"FUN_014983-T1","FUN_014983","Length:503","Rhamnose-binding lectin [Acropora cervicornis]","KAK2549784.1",484,"KLRA1P",30.806,"Q9PVW8"
"FUN_014985-T1","FUN_014985","Length: 1601","Carboxypeptidase D [Acropora cervicornis]","KAK2549781.1",3450,"CPD",41.83,"O75976"
"FUN_014990-T1","FUN_014990","Length: 447","Transducin beta-like protein 2 [Acropora cervicornis]","KAK2549753.1",414,"FNTBL1",50.404,"Q9Y4P3"
"FUN_014992-T1","FUN_014992","Length: 880","rab GTPase-binding effector protein 1-like [Acropora millepora]","XP_029212575.2",879,"RABEP1",30.497,"O35551"
"FUN_015005-T1","FUN_015005","Length: 282","Very-long-chain enoyl-CoA reductase [Acropora cervicornis]","KAK2549736.1",282,"MECR",28.07,"Q55C17"
"FUN_015017-T1","FUN_015017","Length: 727","Serine/threonine-protein kinase PRP4-like protein [Acropora cervicornis]","KAK2560820.1",1295,NA,58.532,"O88554"
"FUN_015020-T1","FUN_015020","Length: 177","hypothetical protein P5673_016622 [Acropora cervicornis]","KAK2560819.1",95,NA,31.373,"Q8WZ42"
"FUN_015047-T1","FUN_015047","Length: 1498","CD109 antigen [Acropora cervicornis]","KAK2560626.1",820,"GAGE1",33.867,"Q8R422"
"FUN_015048-T1","FUN_015048","Length:793","Sharpin [Acropora cervicornis]","KAK2560717.1",547,NA,37.032,"A9JTG5"
"FUN_015052-T1","FUN_015052","Length: 999","hypothetical protein P5673_016480, partial [Acropora cervicornis]","KAK2560713.1",339,NA,19.504,"P24043"
"FUN_015053-T1","FUN_015053","Length: 279","Proteasome subunit beta type-8 [Acropora cervicornis]","KAK2560714.1",269,"PSMB8",76.419,"P28075"
"FUN_015054-T1","FUN_015054","Length: 186","adenine phosphoribosyltransferase-like [Acropora millepora]","XP_029184475.2",186,"NAMPTP1",54.802,"Q64414"
"FUN_015064-T1","FUN_015064","Length: 434","Adenosylhomocysteinase B [Acropora cervicornis]","KAK2560767.1",599,"A1BG",79.535,"O93477"
"FUN_015067-T1","FUN_015067","Length: 590","RNA-binding protein 39 [Acropora cervicornis]","KAK2560770.1",507,"RBM39",57.662,"Q5RC80"
"FUN_015068-T1","FUN_015068","Length: 202","Charged multivesicular body protein 1a [Acropora cervicornis]","KAK2560771.1",180,"CHMP1A",61.5,"Q921W0"
"FUN_015069-T1","FUN_015069","Length: 263","uncharacterized protein [Acropora muricata]","XP_067040739.1",261,"GPRASP1",32.99,"Q6NKL5"
"FUN_015070-T1","FUN_015070","Length: 613","PREDICTED: ran GTPase-activating protein 1-like isoform X1 [Acropora digitifera]","XP_015779681.1",562,"SMAP2",47.606,"Q9VIW3"
"FUN_015072-T1","FUN_015072","Length: 1482","microtubule-associated tumor suppressor 1 homolog isoform X1 [Acropora millepora]","XP_029180954.2",1482,"LATS1",25.06,"Q5JR59"
"FUN_015073-T1","FUN_015073","Length: 336","Dolichyl-phosphate beta-glucosyltransferase [Acropora cervicornis]","KAK2567904.1",271,"ALG5",59.667,"Q9Y673"
"FUN_015074-T1","FUN_015074","Length: 437","mothers against decapentaplegic homolog 5-like [Orbicella faveolata]","XP_020609818.1",438,"SMAD1",70.664,"Q56I99"
"FUN_015079-T1","FUN_015079","Length: 984","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit [Acropora cervicornis]","KAK2551137.1",662,"POMGNT1",74.334,"Q8CGY8"
"FUN_015081-T1","FUN_015081","Length: 336","putative bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein [Acropora cervicornis]","KAK2551101.1",363,NA,32.121,"P10950"
"FUN_015083-T1","FUN_015083","Length: 401","putative bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein [Acropora cervicornis]","KAK2551101.1",363,NA,39.884,"O95671"
"FUN_015084-T1","FUN_015084","Length: 4801","Transmembrane protein KIAA1109 [Acropora cervicornis]","KAK2551099.1",2898,"BLTP1",33.981,"Q2LD37"
"FUN_015086-T1","FUN_015086","Length: 880","uncharacterized protein LOC114955693 [Acropora millepora]","XP_029188404.2",837,"GPRASP1",24,"Q8CUN2"
"FUN_015087-T1","FUN_015087","Length: 827","uncharacterized protein LOC141879698 [Acropora palmata]","XP_074621078.1",827,"GPRASP1",24.576,"Q1WM27"
"FUN_015100-T1","FUN_015100","Length: 519","Lysosomal Pro-X carboxypeptidase [Acropora cervicornis]","KAK2551146.1",505,"AGBL1",58.758,"Q5RBU7"
"FUN_015101-T1","FUN_015101","Length: 480","DnaJ-like protein subfamily A member 3 [Acropora cervicornis]","KAK2551147.1",472,"OR3A3",46.916,"Q96EY1"
"FUN_015103-T1","FUN_015103","Length: 396","Protein SGT1-like protein [Acropora cervicornis]","KAK2551107.1",186,"SUGT1P3",39.323,"B0BN85"
"FUN_015106-T1","FUN_015106","Length: 127","hypothetical protein P5673_028034 [Acropora cervicornis]","KAK2551108.1",85,NA,21.505,"Q02445"
"FUN_015107-T1","FUN_015107","Length: 455","ruvB-like 1 [Exaiptasia diaphana]","XP_020914012.1",455,"A12M1",86.623,"P60122"
"FUN_015108-T1","FUN_015108","Length: 261","uncharacterized protein [Acropora muricata]","XP_067036005.1",254,"GPRASP1",38.235,"Q61T02"
"FUN_015112-T1","FUN_015112","Length: 311",NA,"",NA,"ATP1A1",26.543,"P52320"
"FUN_015116-T1","FUN_015116","Length: 255","Tolloid-like protein 2, partial [Acropora cervicornis]","KAK2551115.1",261,"LGI1",26.923,"Q9W332"
"FUN_015123-T1","FUN_015123","Length: 773","Disintegrin and metalloproteinase domain-containing protein 10 [Acropora cervicornis]","KAK2559385.1",689,"VSX2",45.132,"O77633"
"FUN_015125-T1","FUN_015125","Length:530","uncharacterized protein [Acropora muricata]","XP_067035072.1",530,"GPRASP1",24.815,"Q08676"
"FUN_015126-T1","FUN_015126","Length: 890","PREDICTED: LOW QUALITY PROTEIN: lysosomal alpha-glucosidase-like [Acropora digitifera]","XP_015778633.1",868,"TCF25",48.068,"P70699"
"FUN_015128-T1","FUN_015128","Length: 135","ly6/PLAUR domain-containing protein 2-like [Acropora palmata]","XP_074614680.1",135,NA,34.247,"A4G1N1"
"FUN_015130-T1","FUN_015130","Length: 353","CUB domain-containing protein 2-like isoform X1 [Acropora muricata]","XP_067035077.1",464,"VWC2L",27.985,"Q5VXM1"
"FUN_015134-T1","FUN_015134","Length: 641","Sodium-dependent neutral amino acid transporter B(0)AT3 [Acropora cervicornis]","KAK2559542.1",672,"BAAT",49.322,"O88576"
"FUN_015139-T1","FUN_015139","Length: 516","Mothers against decapentaplegic-like protein 4 [Acropora cervicornis]","KAK2559434.1",626,"DAD1",60.932,"Q9GKQ9"
"FUN_015141-T1","FUN_015141","Length: 425","PREDICTED: uncharacterized protein LOC107357816 [Acropora digitifera]","XP_015779941.1",415,"PLGRKT",26.437,"Q3SYZ8"
"FUN_015149-T1","FUN_015149","Length: 221","extracellular protease-like [Acropora palmata]","XP_074614548.1",174,"IMMP2L",29.213,"O05485"
"FUN_015150-T1","FUN_015150","Length: 371","extracellular protease-like [Acropora palmata]","XP_074613762.1",371,"IMMP2L",26.136,"O05485"
"FUN_015159-T1","FUN_015159","8 Length: 220","hypothetical protein P5673_001781 [Acropora cervicornis]","KAK2572794.1",291,NA,33.333,"Q937N8"
"FUN_015160-T1","FUN_015160","Length: 254","PREDICTED: uncharacterized protein LOC107357816 [Acropora digitifera]","XP_015779941.1",415,"PLGRKT",34.375,"B4S2X7"
"FUN_015163-T1","FUN_015163","Length: 404","hypothetical protein P5673_002263 [Acropora cervicornis]","KAK2573210.1",397,NA,27.835,"A0A509AQJ1"
"FUN_015189-T1","FUN_015189","Length:101","hypothetical protein P5673_028655 [Acropora cervicornis]","KAK2550604.1",101,NA,41.026,"O09116"
"FUN_015193-T1","FUN_015193","Length: 522","Methylglutaconyl-CoA hydratase [Acropora cervicornis]","KAK2550640.1",455,"AUH",58.545,"Q9JLZ3"
"FUN_015194-T1","FUN_015194","Length: 376","actin, cytoplasmic-like [Mastacembelus armatus]","XP_026177115.1",422,"KIR2DL1",97.872,"P69004"
"FUN_015196-T1","FUN_015196","Length: 448","uncharacterized protein LOC122950791 [Acropora millepora]","XP_044166728.1",491,"GPRASP1",34.694,"Q16553"
"FUN_015204-T1","FUN_015204","Length: 803","Glutamine--tRNA ligase [Acropora cervicornis]","KAK2550592.1",1717,"FACL1",62.179,"P47897"
"FUN_015205-T1","FUN_015205","Length: 181","PREDICTED: uncharacterized protein LOC107346672 [Acropora digitifera]","XP_015767962.1",179,"PLGRKT",34.641,"B9EJX3"
"FUN_015211-T1","FUN_015211","Length: 883","DNA replication licensing factor mcm2 [Acropora cervicornis]","KAK2550621.1",696,"CDT1",72.553,"P55861"
"FUN_015215-T1","FUN_015215","Length:3294","E3 ubiquitin-protein ligase HUWE1 [Acropora cervicornis]","KAK2550624.1",4564,"TRIM32",59.639,"P51593"
"FUN_015215-T3","FUN_015215","Length:4564","E3 ubiquitin-protein ligase HUWE1 [Acropora cervicornis]","KAK2550624.1",4564,"TRIM32",42.263,"Q7Z6Z7"
"FUN_015218-T1","FUN_015218","Length:328","hypothetical protein P5673_028680 [Acropora cervicornis]","KAK2550622.1",328,NA,20.705,"U3U715"
"FUN_015219-T1","FUN_015219","Length:616","Leukotriene A-4 hydrolase [Acropora cervicornis]","KAK2550630.1",309,"LTA4H",52.443,"P30349"
"FUN_015222-T1","FUN_015222","Length:591","D-inositol 3-phosphate glycosyltransferase, partial [Acropora cervicornis]","KAK2551651.1",543,"AGPAT3",26.567,"B1VEI4"
"FUN_015237-T1","FUN_015237","Length:448","Integrin-linked protein kinase [Acropora cervicornis]","KAK2550882.1",258,"MAP4K1",56.793,"Q9DF58"
"FUN_015238-T1","FUN_015238","Length:164","telomerase RNA component interacting RNase-like [Acropora muricata]","XP_067041909.1",162,"TRIR",36.31,"Q9BQ61"
"FUN_015241-T1","FUN_015241","Length:712","PREDICTED: PC3-like endoprotease variant B [Acropora digitifera]","XP_015763511.1",712,"H2AB1",51.06,"P29146"
"FUN_015242-T1","FUN_015242","Length:737","PC3-like endoprotease variant B [Acropora cervicornis]","KAK2550876.1",737,"H2AB1",46.14,"P29145"
"FUN_015249-T1","FUN_015249","Length:225","Vesicle-associated membrane protein 7 [Acropora cervicornis]","KAK2550834.1",186,"VAMP7",67.117,"Q5ZL74"
"FUN_015253-T1","FUN_015253","Length:206","Ras-related protein Rab-9B [Acropora cervicornis]","KAK2550831.1",428,"GPRASP1",66.86,"Q9R0M6"
"FUN_015256-T1","FUN_015256","Length:1532","Arf-GAP with Rho-GAP domain, partial [Acropora cervicornis]","KAK2550862.1",526,"ARAP1",31.092,"Q4LDD4"
"FUN_015264-T1","FUN_015264","Length: 140","proteasome maturation protein-like [Acropora palmata]","XP_074619418.1",140,"MLPL1",56.693,"Q3SZV5"
"FUN_015266-T1","FUN_015266","Length: 153","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [Acropora cervicornis]","KAK2550886.1",153,"URAD",48.649,"A1L259"
"FUN_015268-T1","FUN_015268","Length: 174","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase-like [Acropora muricata]","XP_067039379.1",174,"GADL1",47.024,"Q0ZDF7"
"FUN_015272-T1","FUN_015272","Length: 1059","Alpha-mannosidase 2C1 [Acropora cervicornis]","KAK2550852.1",904,"MAN2C1",50.237,"Q9NTJ4"
"FUN_015290-T1","FUN_015290","Length: 147","hypothetical protein P5673_030088 [Acropora cervicornis]","KAK2549414.1",346,NA,25.325,"Q96DM1"
"FUN_015305-T1","FUN_015305","Length: 116","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 [Acropora cervicornis]","KAK2549437.1",78,"DEPDC5",54.386,"P23935"
"FUN_015306-T1","FUN_015306","Length: 946","Isoleucine--tRNA ligase [Acropora cervicornis]","KAK2549439.1",973,"FACL1",67.568,"P41252"
"FUN_015313-T1","FUN_015313","Length: 846","Liprin-beta-2 [Acropora cervicornis]","KAK2549446.1",625,NA,34.687,"Q8ND30"
"FUN_015337-T1","FUN_015337","Length: 364","ZP domain-containing protein [Acropora cervicornis]","KAK2570318.1",602,"VWC2L",29.07,"G8HTB6"
"FUN_015340-T1","FUN_015340","Length: 458","N-chimaerin-like [Acropora muricata]","XP_067020580.1",458,NA,55.361,"P15882"
"FUN_015341-T1","FUN_015341","Length: 102","PREDICTED: HIG1 domain family member 1C-like [Acropora digitifera]","XP_015751044.1",102,"HIGD1A",40.449,"Q76I25"
"FUN_015343-T1","FUN_015343","Length: 616","Switch-associated protein 70 [Acropora cervicornis]","KAK2570242.1",521,"TMEM70",31.533,"Q6A028"
"FUN_015344-T1","FUN_015344","Length: 402","Histone acetyltransferase type B catalytic subunit [Acropora cervicornis]","KAK2570199.1",316,"NAA10",48.379,"Q5M939"
"FUN_015346-T1","FUN_015346","Length: 240","LIM zinc-binding domain-containing Nebulette [Acropora cervicornis]","KAK2570238.1",144,"AZGP1",49.627,"Q61792"
"FUN_015350-T1","FUN_015350","Length: 491",NA,"",NA,"ATP1A1",28.814,"Q6P132"
"FUN_015354-T1","FUN_015354","Length: 325","hypothetical protein P5673_012649 [Acropora cervicornis]","KAK2563671.1",630,NA,23.982,"A1CZE5"
"FUN_015355-T1","FUN_015355","Length: 762","hypothetical protein P5673_005214 [Acropora cervicornis]","KAK2570407.1",778,NA,42.105,"Q19269"
"FUN_015361-T1","FUN_015361","Length: 127","Collagen alpha-1(XVII) chain [Acropora cervicornis]","KAK2570145.1",127,"COL17A1",53.333,"A6QPB3"
"FUN_015380-T1","FUN_015380","Length: 506","Cytochrome P450 3A24 [Acropora cervicornis]","KAK2570396.1",1500,"POR",38.763,"Q29496"
"FUN_015383-T1","FUN_015383","Length: 405","tubulin alpha-1A chain isoform X1 [Lineus longissimus]","XP_064647607.1",499,"ATP6V1A2",97.884,"A5A6J1"
"FUN_015383-T3","FUN_015383","Length:416","tubulin alpha-1A chain isoform X1 [Lineus longissimus]","XP_064647607.1",499,"ATP6V1A2",98.077,"A5A6J1"
"FUN_015390-T1","FUN_015390","Length: 128","PREDICTED: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-like [Acropora digitifera]","XP_015773104.1",128,"PDHA1",54.31,"Q9DCJ5"
"FUN_015394-T1","FUN_015394","Length: 1061","hypothetical protein P5673_004993 [Acropora cervicornis]","KAK2570216.1",943,NA,36.957,"Q9CXK9"
"FUN_015395-T1","FUN_015395","Length: 531","TRAF3-interacting protein 1 [Acropora cervicornis]","KAK2570210.1",475,"TRAF3IP1",44.574,"Q6PGZ3"
"FUN_015398-T1","FUN_015398","Length: 422","eIF5-mimic protein 2 [Acropora cervicornis]","KAK2570024.1",403,"CDK2AP2P2",59.024,"Q6P2Z0"
"FUN_015400-T1","FUN_015400","Length: 81","Cytochrome c oxidase subunit NDUFA4 [Acropora cervicornis]","KAK2570023.1",71,"COX4I1",55.844,"Q62425"
"FUN_015405-T1","FUN_015405","Length: 619",NA,"",NA,"ATP1A1",23.368,"Q9L9D7"
"FUN_015427-T1","FUN_015427","Length: 411","uncharacterized protein [Acropora muricata]","XP_067031747.1",411,"GPRASP1",29.695,"H3ZPL1"
"FUN_015428-T1","FUN_015428","Length: 80","Heat shock factor-binding protein 1 [Acropora cervicornis]","KAK2568883.1",84,"HSBP1L1",41.791,"O75506"
"FUN_015429-T1","FUN_015429","Length: 821","coiled-coil domain-containing protein 170-like [Acropora millepora]","XP_029195036.2",821,"LCP2",34.214,"Q8IYT3"
"FUN_015435-T1","FUN_015435","Length: 328","probable 2-ketogluconate reductase [Acropora millepora]","XP_029195013.2",328,"ALDRL2",46.918,"Q8U3Y2"
"FUN_015436-T1","FUN_015436","Length: 628","hypothetical protein P5673_006688 [Acropora cervicornis]","KAK2568695.1",349,NA,27.365,"E7F7V7"
"FUN_015438-T1","FUN_015438","Length: 1046","DC-STAMP domain-containing protein 2-like [Acropora muricata]","XP_067029293.1",1046,"VWC2L",22.552,"A0A140LIJ0"
"FUN_015441-T1","FUN_015441","Length: 274","uncharacterized protein LOC114960738 [Acropora millepora]","XP_029195005.2",274,"GPRASP1",32.203,"P98195"
"FUN_015444-T1","FUN_015444","Length: 202","Calmodulin-related protein 97A [Acropora cervicornis]","KAK2568962.1",94,"GPRASP1",63.889,"P02594"
"FUN_015447-T1","FUN_015447","Length: 79",NA,"",NA,"ATP1A1",31.818,"Q5FLZ2"
"FUN_015460-T1","FUN_015460","Length: 1148","Protein PALS1 [Acropora cervicornis]","KAK2568822.1",674,"PALS1",39.816,"Q5RDQ2"
"FUN_015461-T1","FUN_015461","Length: 271","Radial spoke head protein 9-like protein [Acropora cervicornis]","KAK2568680.1",260,"CST9LP1",54.44,"Q9H1X1"
"FUN_015464-T1","FUN_015464","Length: 427","2-aminoethylphosphonate--pyruvate transaminase-like isoform X3 [Acropora millepora]","XP_044171371.1",292,"GOT1L1",47.5,"Q8D3M4"
"FUN_015473-T1","FUN_015473","Length: 615","hypothetical protein P5673_026735 [Acropora cervicornis]","KAK2552212.1",1029,NA,28.421,"P48151"
"FUN_015516-T1","FUN_015516","Length: 690","Tectonin beta-propeller repeat-containing protein 1 [Acropora cervicornis]","KAK2565445.1",1023,"TECPR1",39.007,"Q7Z6L1"
"FUN_015563-T1","FUN_015563","Length: 1114","Anoctamin-5 [Acropora cervicornis]","KAK2563653.1",943,"ANO5",43.008,"Q75V66"
"FUN_015567-T1","FUN_015567","Length: 613","glutathione hydrolase 1 proenzyme-like [Acropora muricata]","XP_067038401.1",611,"FAAHP1",39.444,"P07314"
"FUN_015568-T1","FUN_015568","Length: 488","calcium/calmodulin-dependent protein kinase type II delta chain-like isoform X2 [Orbicella faveolata]","XP_020601817.1",483,NA,71.55,"Q2HJF7"
"FUN_015569-T1","FUN_015569","Length: 335","erlin-2-B-like isoform X2 [Acropora muricata]","XP_067038426.1",305,"ATP6V1A2",71.125,"Q6DKC0"
"FUN_015573-T1","FUN_015573","Length: 858","Protein phosphatase 1 regulatory subunit 12A [Acropora cervicornis]","KAK2563858.1",870,"PPP1R12A",56.794,"O14974"
"FUN_015574-T1","FUN_015574","Length: 247","hypothetical protein P5673_012721 [Acropora cervicornis]","KAK2563735.1",247,NA,40.244,"Q9BZL4"
"FUN_015586-T1","FUN_015586","Length: 529","26S proteasome non-ATPase regulatory subunit 13 [Acropora cervicornis]","KAK2563940.1",347,"PSMD13",54.255,"Q5E964"
"FUN_015588-T1","FUN_015588","Length: 163","Retrovirus-related Pol polyprotein from transposon 17.6 [Acropora cervicornis]","KAK2565256.1",1360,"MAEL",38.095,"Q758A1"
"FUN_015593-T1","FUN_015593","Length: 398","Actin-related protein 6 [Acropora cervicornis]","KAK2563795.1",373,"ARL6IP6",60.553,"Q9GZN1"
"FUN_015594-T1","FUN_015594","Length: 592","protein lin-54 homolog [Acropora millepora]","XP_029193964.1",590,"LIN54",51.905,"Q5RBN8"
"FUN_015600-T1","FUN_015600","Length: 219","nucleoside diphosphate kinase homolog 5-like [Acropora palmata]","XP_074615050.1",219,"NME1",61.353,"P56597"
"FUN_015602-T1","FUN_015602","Length: 91","Small nuclear ribonucleoprotein E [Acropora cervicornis]","KAK2563713.1",82,"SNRPE",88.506,"Q7ZUG0"
"FUN_015603-T1","FUN_015603","Length: 1382","Inositol 1 [Acropora cervicornis]","KAK2563714.1",771,"A12M1",28.324,"Q5RHB5"
"FUN_015604-T1","FUN_015604","Length: 260","Carbonic anhydrase 2 [Acropora cervicornis]","KAK2563709.1",228,"CA2",48.855,"P00918"
"FUN_015617-T1","FUN_015617","Length: 859","Venom phosphodiesterase 2 [Acropora cervicornis]","KAK2554976.1",928,"SMPD2",36.849,"J3SBP3"
"FUN_015620-T1","FUN_015620","Length: 662","FAS-associated factor 1 [Acropora cervicornis]","KAK2554977.1",406,"NXT1P1",40.256,"P54731"
"FUN_015621-T1","FUN_015621","Length: 361","hypothetical protein P5673_023314 [Acropora cervicornis]","KAK2554972.1",259,NA,26.667,"Q7T3S5"
"FUN_015623-T1","FUN_015623","Length: 511","Tyrosine-protein kinase SYK [Acropora cervicornis]","KAK2555081.1",691,"MAP4K1",30.407,"F1N9Y5"
"FUN_015626-T1","FUN_015626","Length: 318","PREDICTED: uncharacterized protein LOC107332475 [Acropora digitifera]","XP_015752700.1",389,"PLGRKT",39.672,"H9JW43"
"FUN_015627-T1","FUN_015627","Length: 314","PREDICTED: retinol dehydrogenase 12-like [Acropora digitifera]","XP_015752694.1",314,"TNFRSF12L",53.22,"Q8BYK4"
"FUN_015631-T1","FUN_015631","Length: 246","ATP-dependent Clp protease proteolytic subunit [Acropora cervicornis]","KAK2555101.1",90,"CLPP",70.588,"O88696"
"FUN_015635-T1","FUN_015635","Length: 278","Na(+)/H(+) antiporter NhaA-like [Acropora palmata]","XP_074610811.1",278,NA,42.105,"Q2YMB3"
"FUN_015636-T1","FUN_015636","Length: 506","Acid sphingomyelinase-like phosphodiesterase 3a [Acropora cervicornis]","KAK2555041.1",489,"SMPDL3A",26.941,"Q3ZC91"
"FUN_015638-T1","FUN_015638","Length: 139","U6 snRNA-associated Sm-like protein LSm4 [Acropora cervicornis]","KAK2555039.1",134,"LSM4",86.364,"Q3ZBK6"
"FUN_015640-T1","FUN_015640","Length: 319","Transmembrane prolyl 4-hydroxylase [Acropora cervicornis]","KAK2555037.1",433,"P4HA1",35.169,"Q9NXG6"
"FUN_015640-T2","FUN_015640","Length: 433","Transmembrane prolyl 4-hydroxylase [Acropora cervicornis]","KAK2555037.1",433,"P4HA1",37.604,"Q9NXG6"
"FUN_015649-T1","FUN_015649","Length:628","HAUS augmin-like complex subunit 3 isoform X1 [Acropora millepora]","XP_029184687.2",634,"HAUS1P3",31.31,"Q68CZ6"
"FUN_015651-T1","FUN_015651","Length:626","Intraflagellar transport protein 74-like protein [Acropora cervicornis]","KAK2555052.1",564,"IFTAP",53.746,"Q8BKE9"
"FUN_015655-T1","FUN_015655","Length:1106","Protein disabled [Acropora cervicornis]","KAK2554995.1",1096,"DAB1",44.526,"P98081"
"FUN_015657-T1","FUN_015657","Length:448","calreticulin [Galaxea astreata]","AXO78813.1",444,"CALR",74.352,"P14211"
"FUN_015658-T1","FUN_015658","Length:958","Beta-chimaerin [Acropora cervicornis]","KAK2555004.1",377,NA,33.436,"Q8UUU2"
"FUN_015662-T1","FUN_015662","Length:371","UV excision repair protein RAD23-like protein B [Acropora cervicornis]","KAK2555005.1",323,"RAD23B",47.952,"P54727"
"FUN_015665-T1","FUN_015665","Length:383","hypothetical protein","",NA,NA,31.579,"O29903"
"FUN_015676-T1","FUN_015676","Length:462","hypothetical protein P5673_018316 [Acropora cervicornis]","KAK2559181.1",368,NA,29.388,"Q96RW7"
