ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_008533-T1,FUN_008533,Length:130,PREDICTED: SNARE-associated protein Snapin-like [Acropora digitifera],XP_015764848.1,130,GPRASP1,GPRASP1
FUN_008536-T1,FUN_008536,Length:125,14 kDa phosphohistidine phosphatase-like [Acropora muricata],XP_067057844.1,125,PTPLC,PTPLC
FUN_008539-T1,FUN_008539,Length:1349,uncharacterized protein LOC114961184 isoform X1 [Acropora millepora],XP_044178887.1,1348,ATP6V1A2,ATP6V1A2
FUN_008541-T1,FUN_008541,Length:147,Cofilin [Acropora cervicornis],KAK2567089.1,185,CFL1,CFL1
FUN_008542-T1,FUN_008542,Length:180,Endothelial differentiation-related factor 1 [Acropora cervicornis],KAK2567157.1,180,EDF1,EDF1
FUN_008546-T1,FUN_008546,Length:256,28S ribosomal protein S18b [Acropora cervicornis],KAK2567158.1,250,MRPS18B,MRPS18B
FUN_008549-T1,FUN_008549,Length:558,D-inositol 3-phosphate glycosyltransferase [Acropora cervicornis],KAK2566880.1,558,AGPAT3,AGPAT3
FUN_008562-T1,FUN_008562,Length:530,Bone morphogenetic protein 1 [Acropora cervicornis],KAK2546841.1,394,BMP1,BMP1
FUN_008563-T1,FUN_008563,Length:1448,Tolloid-like protein 2 [Acropora cervicornis],KAK2546781.1,729,CDK2AP2P2,CDK2AP2P2
FUN_008567-T1,FUN_008567,Length:483,Glycosaminoglycan xylosylkinase [Acropora cervicornis],KAK2555357.1,445,FAM20B,FAM20B
FUN_008572-T1,FUN_008572,Length:669,unnamed protein product [Porites lobata],CAH3041984.1,670,UBA52,UBA52
FUN_008578-T1,FUN_008578,Length:602,PREDICTED: EH domain-binding protein 1-like protein 1 isoform X2 [Acropora digitifera],XP_015763996.1,602,EHBP1L1,EHBP1L1
FUN_008579-T1,FUN_008579,Length:320,Maspardin [Acropora cervicornis],KAK2555317.1,261,SPG21,SPG21
FUN_008584-T1,FUN_008584,Length:577,Long-chain-fatty-acid--CoA ligase ACSBG2 [Acropora cervicornis],KAK2555331.1,1083,FACL1,FACL1
FUN_008585-T1,FUN_008585,Length:716,Long-chain-fatty-acid--CoA ligase ACSBG2 [Acropora cervicornis],KAK2555331.1,1083,FACL1,FACL1
FUN_008587-T1,FUN_008587,Length:652,Polyunsaturated fatty acid 5-lipoxygenase [Acropora cervicornis],KAK2555333.1,636,ALOX5,ALOX5
FUN_008595-T1,FUN_008595,Length:261,24 kDa Ras-like protein [Acropora cervicornis],KAK2555293.1,181,NKIRAS2,NKIRAS2
FUN_008597-T1,FUN_008597,Length:518,Katanin p60 ATPase-containing subunit A-like 2 [Acropora cervicornis],KAK2555296.1,458,KATNA1,KATNA1
FUN_008599-T1,FUN_008599,Length:819,hypothetical protein P5673_022930 [Acropora cervicornis],KAK2555303.1,819,NA,NA
FUN_008601-T1,FUN_008601,Length:700,anoctamin-8-like isoform X2 [Montipora capricornis],XP_068722680.1,700,ATP6V1A2,ATP6V1A2
FUN_008602-T1,FUN_008602,Length:542,Lysosomal acid glucosylceramidase [Acropora cervicornis],KAK2555298.1,278,GBA1,GBA1
FUN_008603-T1,FUN_008603,Length:353,PREDICTED: protein PRRC1-like [Acropora digitifera],XP_015764335.1,353,GPRASP1,GPRASP1
FUN_008610-T1,FUN_008610,Length:495,sorting nexin-2-like [Acropora muricata],XP_067056769.1,495,PSMB7,PSMB7
FUN_008612-T1,FUN_008612,Length:115,adenosine 5'-monophosphoramidase HINT1-like [Acropora palmata],XP_074638015.1,115,ADA,ADA
FUN_008615-T1,FUN_008615,Length:331,Electron transfer flavoprotein subunit alpha [Acropora cervicornis],KAK2555407.1,331,ETFA,ETFA
FUN_008617-T1,FUN_008617,Length:865,E3 ubiquitin-protein ligase NEDD4-like [Acropora cervicornis],KAK2555405.1,758,NEDD4L,NEDD4L
FUN_008618-T1,FUN_008618,Length:501,"hypothetical protein P5673_022912, partial [Acropora cervicornis]",KAK2555288.1,197,NA,NA
FUN_008618-T2,FUN_008618,Length:640,"hypothetical protein P5673_022912, partial [Acropora cervicornis]",KAK2555288.1,197,NA,NA
FUN_008620-T1,FUN_008620,Length:346,Uromodulin [Acropora cervicornis],KAK2562022.1,2066,UMOD,UMOD
FUN_008621-T1,FUN_008621,Length:283,glutamate--cysteine ligase regulatory subunit-like isoform X2 [Acropora muricata],XP_067056318.1,259,RFX2,RFX2
FUN_008622-T1,FUN_008622,Length:578,hypothetical protein P5673_022958 [Acropora cervicornis],KAK2555328.1,507,NA,NA
FUN_008633-T1,FUN_008633,Length:756,Pyridoxal-dependent decarboxylase domain-containing protein 1 [Acropora cervicornis],KAK2571660.1,730,PDXDC1,PDXDC1
FUN_008637-T1,FUN_008637,Length:705,Coagulation factor V [Acropora cervicornis],KAK2571862.1,641,F5,F5
FUN_008640-T1,FUN_008640,Length:376,Arf-GAP with dual PH domain-containing protein 1 [Acropora cervicornis],KAK2571859.1,282,ADAP1,ADAP1
FUN_008648-T1,FUN_008648,Length:191,40S ribosomal protein S9 [Actinia tenebrosa],XP_031563318.1,192,MRPS9,MRPS9
FUN_008652-T1,FUN_008652,Length:120,hypothetical protein P5673_003183 [Acropora cervicornis],KAK2571783.1,281,NA,NA
FUN_008668-T1,FUN_008668,Length:144,Caveolin-2 [Acropora cervicornis],KAK2563532.1,144,CAV2,CAV2
FUN_008669-T1,FUN_008669,Length:743,uncharacterized protein LOC114971600 [Acropora millepora],XP_029207996.2,453,GPRASP1,GPRASP1
FUN_008670-T1,FUN_008670,Length:112,hypothetical protein P5673_013091 [Acropora cervicornis],KAK2563395.1,81,NA,NA
FUN_008682-T1,FUN_008682,Length:229,Dehydrogenase/reductase SDR family member on chromosome X [Acropora cervicornis],KAK2563347.1,319,NA,NA
FUN_008684-T1,FUN_008684,Length:319,Dehydrogenase/reductase SDR family member on chromosome X [Acropora cervicornis],KAK2563347.1,319,NA,NA
FUN_008686-T1,FUN_008686,Length:242,BTB/POZ domain-containing protein KCTD16-like [Orbicella faveolata],XP_020617669.1,242,NA,NA
FUN_008693-T1,FUN_008693,Length:581,Galanin receptor type 1 [Acropora cervicornis],KAK2563472.1,728,IL1R1,IL1R1
FUN_008694-T1,FUN_008694,Length:513,Lysosome membrane protein 2 [Acropora cervicornis],KAK2563474.1,438,GOLM2,GOLM2
FUN_008699-T1,FUN_008699,Length:413,PREDICTED: uncharacterized protein LOC107345780 [Acropora digitifera],XP_015767008.1,411,PLGRKT,PLGRKT
FUN_008706-T1,FUN_008706,Length:284,hypothetical protein P5673_013305 [Acropora cervicornis],KAK2563576.1,147,NA,NA
FUN_008710-T1,FUN_008710,Length:129,Mitochondrial import inner membrane translocase subunit TIM16 [Acropora cervicornis],KAK2563574.1,133,TIMM8A,TIMM8A
FUN_008712-T1,FUN_008712,Length:1103,C-type lectin domain family 4 member F [Acropora cervicornis],KAK2563572.1,1887,CLEC4F,CLEC4F
FUN_008714-T1,FUN_008714,Length:844,Adhesion G protein-coupled receptor E1 [Acropora cervicornis],KAK2571106.1,1107,ADGRE1,ADGRE1
FUN_008717-T1,FUN_008717,Length:539,Adhesion G protein-coupled receptor E1 [Acropora cervicornis],KAK2571106.1,1107,ADGRE1,ADGRE1
FUN_008721-T1,FUN_008721,Length:1088,Matrilin-2 [Acropora cervicornis],KAK2563539.1,623,MATN2,MATN2
FUN_008723-T1,FUN_008723,Length:140,putative trafficking protein particle complex subunit 2 [Acropora cervicornis],KAK2563536.1,129,TRAPPC2,TRAPPC2
FUN_008724-T1,FUN_008724,Length:1605,Pericentriolar material 1 protein [Acropora cervicornis],KAK2563645.1,2143,PCM1,PCM1
FUN_008724-T2,FUN_008724,Length:2257,Pericentriolar material 1 protein [Acropora cervicornis],KAK2563645.1,2143,PCM1,PCM1
FUN_008725-T1,FUN_008725,Length:222,hypothetical protein P5673_013380 [Acropora cervicornis],KAK2563641.1,272,NA,NA
FUN_008746-T1,FUN_008746,Length:607,Electron transfer flavoprotein-ubiquinone oxidoreductase [Acropora cervicornis],KAK2563410.1,573,NDUFV1,NDUFV1
FUN_008750-T1,FUN_008750,Length:262,thyrotroph embryonic factor-like [Acropora muricata],XP_067039242.1,262,ARL4AP1,ARL4AP1
FUN_008752-T1,FUN_008752,Length:764,LOW QUALITY PROTEIN: sodium channel and clathrin linker 1-like [Acropora millepora],XP_029203751.2,764,SCLT1,SCLT1
FUN_008756-T1,FUN_008756,Length:370,ubiquitin carboxyl-terminal hydrolase 46-like [Montipora foliosa],XP_068701910.1,370,UCHH2,UCHH2
FUN_008757-T1,FUN_008757,Length:159,Signal peptidase complex subunit 3 [Acropora cervicornis],KAK2563361.1,139,SPCS3,SPCS3
FUN_008765-T1,FUN_008765,Length:610,ATP-binding cassette sub-family E member 1-like [Montipora capricornis],XP_068718245.1,611,ABCE1,ABCE1
FUN_008767-T1,FUN_008767,Length:161,60S ribosomal protein L21 [Acropora cervicornis],KAK2563492.1,124,MRPL21,MRPL21
FUN_008768-T1,FUN_008768,Length:1123,NLR family CARD domain-containing protein 3 [Acropora cervicornis],KAK2551337.1,168,NLRC3,NLRC3
FUN_008770-T1,FUN_008770,Length:228,Ubiquitin carboxyl-terminal hydrolase isozyme L3 [Acropora cervicornis],KAK2563494.1,247,UCHH2,UCHH2
FUN_008772-T1,FUN_008772,Length:583,Nucleoporin p58/p45 [Acropora cervicornis],KAK2563505.1,338,NA,NA
FUN_008773-T1,FUN_008773,Length:234,Coiled-coil domain-containing protein 134 [Acropora cervicornis],KAK2563506.1,207,CCDC134,CCDC134
FUN_008777-T1,FUN_008777,Length:260,putative protein phosphatase 2C T23F11.1 [Acropora cervicornis],KAK2563508.1,276,PP2D1,PP2D1
FUN_008786-T1,FUN_008786,Length:261,33 kDa inner dynein arm light chain [Acropora cervicornis],KAK2559868.1,281,AXDND1,AXDND1
FUN_008799-T1,FUN_008799,Length:1633,uncharacterized protein [Acropora muricata],XP_067046967.1,1641,GPRASP1,GPRASP1
FUN_008805-T1,FUN_008805,Length:127,tRNA-Ala,,NA,MT-TA,MT-TA
FUN_008821-T1,FUN_008821,Length:489,Kynureninase [Acropora cervicornis],KAK2560002.1,327,KYNU,KYNU
FUN_008822-T1,FUN_008822,Length:724,PREDICTED: uncharacterized protein LOC107351730 [Acropora digitifera],XP_015773525.1,611,PLGRKT,PLGRKT
FUN_008834-T1,FUN_008834,Length:1060,Serrate RNA effector molecule-like protein [Acropora cervicornis],KAK2559820.1,1097,CD99P1,CD99P1
FUN_008835-T1,FUN_008835,Length:178,Serrate RNA effector molecule-like protein [Acropora cervicornis],KAK2559820.1,1097,CD99P1,CD99P1
FUN_008860-T1,FUN_008860,Length:333,Growth hormone-inducible transmembrane protein [Acropora cervicornis],KAK2559883.1,250,GHITM,GHITM
FUN_008861-T1,FUN_008861,Length:245,tropomyosin-like [Acropora millepora],XP_029212471.2,244,NA,NA
FUN_008878-T1,FUN_008878,Length: 556,glutamate receptor 2-like isoform X2 [Acropora muricata],XP_067046401.1,843,ATP6V1A2,ATP6V1A2
FUN_008880-T1,FUN_008880,Length: 299,uncharacterized protein LOC114976247 [Acropora millepora],XP_029212487.2,299,GPRASP1,GPRASP1
FUN_008892-T1,FUN_008892,Length: 256,"medium-chain acyl-CoA ligase ACSF2, mitochondrial-like isoform X1 [Acropora muricata]",XP_067039446.1,612,ACADM,ACADM
FUN_008896-T1,FUN_008896,Length: 388,testin-like isoform X1 [Acropora millepora],XP_029195236.2,388,ATP6V1A2,ATP6V1A2
FUN_008897-T1,FUN_008897,Length: 433,restin homolog [Acropora muricata],XP_067042333.1,1061,ACCS,ACCS
FUN_008899-T1,FUN_008899,Length: 774,restin homolog [Acropora muricata],XP_067042333.1,1061,ACCS,ACCS
FUN_008906-T1,FUN_008906,Length: 157,putative bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein [Acropora cervicornis],KAK2568025.1,198,NA,NA
FUN_008907-T1,FUN_008907,Length: 1244,Centrosomal protein of 135 kDa [Acropora cervicornis],KAK2568024.1,871,CEP135,CEP135
FUN_008912-T1,FUN_008912,Length: 790,amiloride-sensitive amine oxidase [copper-containing]-like [Acropora millepora],XP_029195268.2,790,AOC1,AOC1
FUN_008921-T1,FUN_008921,Length: 761,La-related protein 1 [Acropora cervicornis],KAK2568074.1,1040,MAPK1IP1L,MAPK1IP1L
FUN_008922-T1,FUN_008922,Length: 459,PREDICTED: microphthalmia-associated transcription factor-like isoform X2 [Acropora digitifera],XP_015774768.1,457,MITF,MITF
FUN_008923-T1,FUN_008923,Length: 256,3-hydroxyacyl-CoA dehydrogenase type-2-like [Acropora millepora],XP_029195182.2,256,GABARAPL2,GABARAPL2
FUN_008924-T1,FUN_008924,Length: 411,uncharacterized protein [Acropora muricata],XP_067041120.1,411,GPRASP1,GPRASP1
FUN_008926-T1,FUN_008926,Length: 512,Ankyrin repeat [Acropora cervicornis],KAK2568071.1,584,TANC1,TANC1
FUN_008932-T1,FUN_008932,Length: 232,uncharacterized protein [Acropora muricata],XP_067039425.1,210,GPRASP1,GPRASP1
FUN_008939-T1,FUN_008939,Length: 899,LOW QUALITY PROTEIN: dystroglycan-like [Acropora millepora],XP_044177359.1,937,TCF25,TCF25
FUN_008941-T1,FUN_008941,Length: 1721,LOW QUALITY PROTEIN: uncharacterized protein LOC114960886 [Acropora millepora],XP_029195205.2,1769,TCF25,TCF25
FUN_008947-T1,FUN_008947,Length: 474,PREDICTED: glycerate kinase-like isoform X1 [Acropora digitifera],XP_015765990.1,532,G7P1,G7P1
FUN_008950-T1,FUN_008950,Length: 224,Thioredoxin domain-containing protein 9 [Acropora cervicornis],KAK2568117.1,224,PRDM9,PRDM9
FUN_008957-T1,FUN_008957,Length: 275,large ribosomal subunit protein uL6-like [Acropora muricata],XP_067042523.1,211,RPLP0,RPLP0
FUN_008965-T1,FUN_008965,Length: 891,FHIP family protein v1g243165-like [Acropora palmata],XP_074621304.1,891,GPRASP3,GPRASP3
FUN_008969-T1,FUN_008969,Length: 1162,WASH complex subunit 4 [Acropora cervicornis],KAK2567753.1,1110,WASHC4,WASHC4
FUN_008970-T1,FUN_008970,Length: 961,uncharacterized protein [Acropora muricata],XP_067039763.1,962,GPRASP1,GPRASP1
FUN_008972-T1,FUN_008972,Length: 94,hypothetical protein P5673_007622 [Acropora cervicornis],KAK2567755.1,94,NA,NA
FUN_008974-T1,FUN_008974,Length: 163,NA,,NA,ATP1A1,ATP1A1
FUN_008976-T1,FUN_008976,Length: 421,uncharacterized protein LOC114969847 [Acropora millepora],XP_029206019.2,421,GPRASP1,GPRASP1
FUN_008977-T1,FUN_008977,Length: 419,Polyadenylate-binding protein 1-A [Acropora cervicornis],KAK2568007.1,419,LTO1,LTO1
FUN_008982-T1,FUN_008982,Length: 109,glutaredoxin-C8-like [Acropora millepora],XP_029182378.2,109,NA,NA
FUN_008983-T1,FUN_008983,Length: 1257,"Amyloid beta precursor protein binding family B member 2, partial [Acropora cervicornis]",KAK2568001.1,1232,APBB2,APBB2
FUN_008987-T1,FUN_008987,Length: 643,hypothetical protein P5673_007744 [Acropora cervicornis],KAK2567860.1,666,NA,NA
FUN_008990-T1,FUN_008990,Length: 227,uncharacterized protein LOC114969477 isoform X1 [Acropora millepora],XP_029205634.2,997,ATP6V1A2,ATP6V1A2
FUN_009004-T1,FUN_009004,Length: 875,Sushi [Acropora cervicornis],KAK2563605.1,851,SNED1,SNED1
FUN_009005-T1,FUN_009005,Length: 422,Ubiquitin-conjugating enzyme E2 K [Acropora cervicornis],KAK2563604.1,189,UBE2K,UBE2K
FUN_009010-T1,FUN_009010,Length: 336,Glucosamine-6-phosphate isomerase 1 [Acropora cervicornis],KAK2563390.1,336,MRI1,MRI1
FUN_009013-T1,FUN_009013,Length: 180,uncharacterized protein LOC114950769 [Acropora millepora],XP_029182739.1,180,GPRASP1,GPRASP1
FUN_009016-T1,FUN_009016,2 Length: 380,"Peptidyl-prolyl cis-trans isomerase D, partial [Acropora cervicornis]",KAK2563524.1,319,PIN1,PIN1
FUN_009018-T1,FUN_009018,Length: 462,Exosome complex component RRP45 [Acropora cervicornis],KAK2563518.1,204,EXOC1,EXOC1
FUN_009019-T1,FUN_009019,Length: 199,high mobility group protein B3-like [Acropora millepora],XP_029182734.1,199,HMG1P,HMG1P
FUN_009021-T1,FUN_009021,Length: 1147,Phospholipid-transporting ATPase IA [Acropora cervicornis],KAK2563478.1,1010,FCER1A,FCER1A
FUN_009022-T1,FUN_009022,Length: 917,Coronin-7 [Acropora cervicornis],KAK2563477.1,764,CORO7,CORO7
FUN_009023-T1,FUN_009023,Length: 96,NA,,NA,ATP1A1,ATP1A1
FUN_009029-T1,FUN_009029,Length: 667,C-Jun-amino-terminal kinase-interacting protein 3 [Acropora cervicornis],KAK2563557.1,501,MAPK8IP3,MAPK8IP3
FUN_009030-T1,FUN_009030,Length: 715,C-Jun-amino-terminal kinase-interacting protein 3 [Acropora cervicornis],KAK2563558.1,1285,MAPK8IP3,MAPK8IP3
FUN_009031-T1,FUN_009031,Length: 318,unnamed protein product [Porites evermanni],CAH3187892.1,349,UBA52,UBA52
FUN_009041-T1,FUN_009041,Length: 679,Bardet-Biedl syndrome 7 protein [Acropora cervicornis],KAK2563629.1,652,BBS7,BBS7
FUN_009042-T1,FUN_009042,0 Length: 1043,NA,,NA,ATP1A1,ATP1A1
FUN_009048-T1,FUN_009048,1 Length: 553,hypothetical protein P5673_013014 [Acropora cervicornis],KAK2563333.1,486,NA,NA
FUN_009050-T1,FUN_009050,2 Length: 1361,ATP-dependent translocase ABCB1-like [Acropora millepora],XP_029214358.2,1362,ANTKMT,ANTKMT
FUN_009051-T1,FUN_009051,3 Length: 491,Rho GTPase-activating protein 24 [Acropora cervicornis],KAK2563335.1,413,ARHGAP24,ARHGAP24
FUN_009053-T1,FUN_009053,4 Length: 610,SH2 domain-containing protein 4B-like [Acropora millepora],XP_029214326.1,611,RFPL4B,RFPL4B
FUN_009063-T1,FUN_009063,5 Length: 148,NA,,NA,ATP1A1,ATP1A1
FUN_009064-T1,FUN_009064,6 Length: 90,NA,,NA,ATP1A1,ATP1A1
FUN_009072-T1,FUN_009072,7 Length: 221,uncharacterized protein LOC114976006 [Acropora millepora],XP_029212174.2,221,GPRASP1,GPRASP1
FUN_009085-T1,FUN_009085,8 Length: 934,RNA-binding protein 15-like [Acropora millepora],XP_029212222.2,857,ZNF15L2,ZNF15L2
FUN_009092-T1,FUN_009092,9 Length: 362,hypothetical protein pdam_00011071 [Pocillopora damicornis],RMX56930.1,365,NA,NA
FUN_009093-T1,FUN_009093,0 Length: 513,Inosine-5'-monophosphate dehydrogenase 2 [Desmophyllum pertusum],KAJ7385966.1,449,ALDH2,ALDH2
FUN_009095-T1,FUN_009095,1 Length: 894,"Beta-mannosidase, partial [Acropora cervicornis]",KAK2563424.1,770,LGI1,LGI1
FUN_009096-T1,FUN_009096,2 Length: 406,dapdiamide synthesis protein DdaC-like [Acropora muricata],XP_067040197.1,396,MCIDAS,MCIDAS
FUN_009098-T1,FUN_009098,3 Length: 376,"Alpha-centractin, partial [Acropora cervicornis]",KAK2563898.1,339,LGI1,LGI1
FUN_009101-T1,FUN_009101,4 Length: 808,Mannosyl-oligosaccharide glucosidase [Acropora cervicornis],KAK2563897.1,801,MOGS,MOGS
FUN_009103-T1,FUN_009103,5 Length: 246,"Copper homeostasis protein cutC-like protein, partial [Acropora cervicornis]",KAK2563901.1,205,CHERP,CHERP
FUN_009111-T1,FUN_009111,6 Length: 364,developmentally-regulated GTP-binding protein 2-like [Acropora millepora],XP_029194378.1,364,MTG1,MTG1
FUN_009118-T1,FUN_009118,7 Length: 220,PREDICTED: uncharacterized protein LOC107329891 [Acropora digitifera],XP_015750029.1,364,PLGRKT,PLGRKT
FUN_009119-T1,FUN_009119,Length:216,Thymocyte nuclear protein 1 [Acropora cervicornis],KAK2563715.1,352,THYN1,THYN1
FUN_009120-T1,FUN_009120,8 Length: 219,Thymocyte nuclear protein 1 [Acropora cervicornis],KAK2563715.1,352,THYN1,THYN1
FUN_009125-T1,FUN_009125,9 Length: 1634,uncharacterized protein [Acropora muricata],XP_067038062.1,1715,GPRASP1,GPRASP1
FUN_009129-T1,FUN_009129,Length:553,hypothetical protein P5673_012999 [Acropora cervicornis],KAK2563980.1,968,NA,NA
FUN_009132-T1,FUN_009132,Length:350,RYamide receptor [Acropora cervicornis],KAK2563703.1,823,INSRR,INSRR
FUN_009137-T1,FUN_009137,Length:290,zinc finger CCCH domain-containing protein 10-like [Acropora palmata],XP_074615003.1,290,ZGPAT,ZGPAT
FUN_009138-T1,FUN_009138,Length:596,Phosphoinositide 3-kinase adapter protein 1 [Acropora cervicornis],KAK2563947.1,615,PIK3CDP1,PIK3CDP1
FUN_009139-T1,FUN_009139,Length:774,Streptococcal surface protein B [Acropora cervicornis],KAK2563704.1,756,P200,P200
FUN_009140-T1,FUN_009140,Length:245,Growth arrest-specific protein 2 [Acropora cervicornis],KAK2563705.1,297,MEOX2,MEOX2
FUN_009141-T1,FUN_009141,Length:77,"hypothetical protein P5673_012958, partial [Acropora cervicornis]",KAK2563942.1,72,NA,NA
FUN_009142-T1,FUN_009142,Length:516,ADP-ribosylation factor GTPase-activating protein 3 [Acropora cervicornis],KAK2563781.1,345,ARFGAP3,ARFGAP3
FUN_009144-T1,FUN_009144,Length:745,N-acetylated-alpha-linked acidic dipeptidase 2 [Acropora cervicornis],KAK2563784.1,455,NAALAD2,NAALAD2
FUN_009151-T1,FUN_009151,Length:809,kelch-like protein 12 [Acropora millepora],XP_029194451.2,809,AKAP12,AKAP12
FUN_009160-T1,FUN_009160,Length:118,synaptotagmin-6-like isoform X2 [Acropora muricata],XP_067039094.1,419,ATP6V1A2,ATP6V1A2
FUN_009164-T1,FUN_009164,Length:375,hypothetical protein,,NA,NA,NA
FUN_009169-T1,FUN_009169,Length:142,Single-stranded DNA-binding protein [Acropora cervicornis],KAK2563747.1,157,SSBP1,SSBP1
FUN_009171-T1,FUN_009171,Length:334,7-dehydrocholesterol reductase [Acropora cervicornis],KAK2563746.1,715,DHCR7,DHCR7
FUN_009173-T1,FUN_009173,Length:256,PREDICTED: uncharacterized protein LOC107339890 [Acropora digitifera],XP_015760712.1,195,PLGRKT,PLGRKT
FUN_009174-T1,FUN_009174,Length:681,"cGMP-dependent protein kinase 1, partial [Acropora cervicornis]",KAK2563745.1,627,PRKG1,PRKG1
FUN_009177-T1,FUN_009177,Length:223,Serine-threonine kinase receptor-associated protein [Acropora cervicornis],KAK2563878.1,252,STRAP,STRAP
FUN_009183-T1,FUN_009183,Length:279,RING finger protein nhl-1-like [Acropora millepora],XP_029203814.2,279,RNF19A,RNF19A
FUN_009184-T1,FUN_009184,Length:308,Mitochondrial carrier-like protein 2 [Acropora cervicornis],KAK2563662.1,219,MPC1L,MPC1L
FUN_009185-T1,FUN_009185,Length:402,PREDICTED: COP9 signalosome complex subunit 4-like isoform X1 [Acropora digitifera],XP_015760719.1,411,COPS2,COPS2
FUN_009188-T1,FUN_009188,Length:314,Lysosomal acid phosphatase [Acropora cervicornis],KAK2563658.1,372,ACP2,ACP2
FUN_009190-T1,FUN_009190,Length:169,Universal stress protein [Acropora cervicornis],KAK2563655.1,169,HAPSTR1,HAPSTR1
FUN_009193-T1,FUN_009193,Length:1192,uncharacterized protein [Acropora muricata],XP_067037103.1,1207,GPRASP1,GPRASP1
FUN_009194-T1,FUN_009194,Length:898,cytoplasmic aconitate hydratase-like isoform X3 [Montipora foliosa],XP_068711178.1,904,ACOD1,ACOD1
FUN_009207-T1,FUN_009207,Length:713,Alpha-dioxygenase PIOX [Acropora cervicornis],KAK2563915.1,1227,ALKBH2,ALKBH2
FUN_009208-T1,FUN_009208,Length:706,Alpha-dioxygenase PIOX [Acropora cervicornis],KAK2563915.1,1227,ALKBH2,ALKBH2
FUN_009209-T1,FUN_009209,Length:463,UBX domain-containing protein 6-like isoform X1 [Acropora millepora],XP_029203763.2,464,MFSD6L,MFSD6L
FUN_009210-T1,FUN_009210,Length:328,PIH1 domain-containing protein 2-like isoform X1 [Acropora millepora],XP_044172929.1,328,VWC2L,VWC2L
FUN_009214-T1,FUN_009214,Length:391,hypothetical protein P5673_023911 [Acropora cervicornis],KAK2554673.1,752,NA,NA
FUN_009218-T1,FUN_009218,Length:507,ran-binding protein 3-like [Acropora muricata],XP_067027262.1,507,RANBP3L,RANBP3L
FUN_009220-T1,FUN_009220,Length:290,retinol dehydrogenase 8-like [Acropora millepora],XP_029209388.1,290,AKAP8L,AKAP8L
FUN_009221-T1,FUN_009221,Length:293,retinol dehydrogenase 8-like [Acropora millepora],XP_044164246.1,293,AKAP8L,AKAP8L
FUN_009222-T1,FUN_009222,Length:299,retinol dehydrogenase 8-like [Acropora millepora],XP_029206927.2,299,AKAP8L,AKAP8L
FUN_009225-T1,FUN_009225,Length:345,Retinol dehydrogenase 8 [Acropora cervicornis],KAK2554654.1,263,RDH8,RDH8
FUN_009232-T1,FUN_009232,Length:534,Sterol carrier protein 2 [Acropora cervicornis],KAK2554667.1,936,SCP2,SCP2
FUN_009234-T1,FUN_009234,Length:491,Afadin- and alpha-actinin-binding protein A [Acropora cervicornis],KAK2554607.1,583,PSMA1,PSMA1
FUN_009235-T1,FUN_009235,Length:1221,hypothetical protein P5673_023840 [Acropora cervicornis],KAK2554610.1,1282,NA,NA
FUN_009237-T1,FUN_009237,Length:891,transportin-1-like isoform X2 [Orbicella faveolata],XP_020611799.1,955,ATP6V1A2,ATP6V1A2
FUN_009241-T1,FUN_009241,Length:724,E3 ubiquitin-protein ligase TRIM45-like [Acropora palmata],XP_074631989.1,755,TRIM32,TRIM32
FUN_009247-T1,FUN_009247,Length:521,PREDICTED: polyadenylate-binding protein-interacting protein 1-like isoform X2 [Acropora digitifera],XP_015776628.1,281,FILIP1LP1,FILIP1LP1
FUN_009250-T1,FUN_009250,Length:349,hypothetical protein P5673_023841 [Acropora cervicornis],KAK2554611.1,230,NA,NA
FUN_009260-T1,FUN_009260,Length:269,Plasminogen receptor (KT) [Acropora cervicornis],KAK2554634.1,149,INSRR,INSRR
FUN_009267-T1,FUN_009267,Length:453,PREDICTED: uncharacterized protein LOC107358622 isoform X2 [Acropora digitifera],XP_015780705.1,433,ATP6V1A2,ATP6V1A2
FUN_009274-T1,FUN_009274,Length:913,very low-density lipoprotein receptor-like isoform X1 [Acropora muricata],XP_067028757.1,851,VLDLR,VLDLR
FUN_009283-T1,FUN_009283,Length:1528,Transcription activator BRG1 [Acropora cervicornis],KAK2549242.1,661,ABT1,ABT1
FUN_009290-T1,FUN_009290,Length:894,Very low-density lipoprotein receptor [Acropora cervicornis],KAK2549244.1,759,VLDLR,VLDLR
FUN_009330-T1,FUN_009330,Length:489,Phenylalanine--tRNA ligase beta subunit [Acropora cervicornis],KAK2550544.1,340,SUCLA2P1,SUCLA2P1
FUN_009333-T1,FUN_009333,0 Length: 3362,PREDICTED: basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X1 [Acropora digitifera],XP_015762170.1,2171,MLPL1,MLPL1
FUN_009337-T1,FUN_009337,1 Length: 284,PREDICTED: polyhomeotic-like protein 1 isoform X2 [Acropora digitifera],XP_015762167.1,283,PHC1,PHC1
FUN_009341-T1,FUN_009341,2 Length: 300,Inactive C-alpha-formylglycine-generating enzyme 2 [Acropora cervicornis],KAK2550571.1,174,ACE2,ACE2
FUN_009346-T1,FUN_009346,3 Length: 637,Anoctamin-7 [Acropora cervicornis],KAK2550527.1,808,ANO7,ANO7
FUN_009347-T1,FUN_009347,4 Length: 1141,Anoctamin-7 [Acropora cervicornis],KAK2550526.1,1215,ANO7,ANO7
